"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","CURRENT","MANUFACTURER","MANUFACTURER PART NUMBER","MOUNT TYPE","POWER","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER 7","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","SUPPLIER PART NUMBER 7","TOLERANCE","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"ERJ-PB6D1201V","R0805_MD","","ERJ-PB6D1201V","","Panasonic Electronic Components","","SMD","1/4W","Digi-Key","","","","","","","P21027CT-ND","","","","","","","0.5%","1.2KR","*","R?","RES SMD 1.2K OHM 0.5% 1/4W 0805"
"ERJ-PB6D2400V","R0805_MD","","ERJ-PB6D2400V","","Panasonic Electronic Components","","SMD","1/4W","Arrow","Digi-Key","","","","","","CMQpls--rDqUJW5etnI2Ef6Sk5DOtT91eUaGZR8iTcY","P20946CT-ND","","","","","","0.5%","240R","*","R?","RES SMD 240 OHM 0.5% 1/4W 0805"
"ERJ-PB6D3300V","R0805_MD","","ERJ-PB6D3300V","","Panasonic Electronic Components","","SMD","1/4W","Digi-Key","","","","","","","P20962CT-ND","","","","","","","0.5%","330R","*","R?","RES SMD 330 OHM 0.5% 1/4W 0805"
"ERJ-PB6D3900V","R0805_MD","R0805_HD","ERJ-PB6D3900V","","Panasonic Electronic Components","","SMD","1/4W","Digi-Key","Digi-Key","","","","","","","P20971DKR-ND","","","","","","0.5%","390R","*","R?","RES SMD 390 OHM 0.5% 1/4W 0805"
"ERJ-T06J181V","R0805_MD","","ERJ-T06J181V","","Panasonic Electronic Components","ERJ-T06J181V","SMD","1/4W","Digi-Key","","","","","","","ERJ-T06J181V-ND","","","","","","","5%","180R","*","R?","RES SMD 180 OHM 5% 1/4W 0805"
"ERJ-T06J221V","R0805_MD","","ERJ-T06J221V","","Panasonic Electronic Components","ERJ-T06J221V","SMD","1/4W","Digi-Key","","","","","","","ERJ-T06J221V-ND","","","","","","","5%","220R","*","R?","RES SMD 220 OHM 5% 1/4W 0805"
"ERO-S2PHF6801","RES_AXIAL_0.4","","ERO-S2PHF6801","","Panasonic Electronic Components","","PTH","1/4W","Digi-Key","Mouser","","","","","","P6.80KCACT-ND","667-ERO-S2PHF6801","","","","","","1%","6k8","*","R?","RES 6.8K OHM 1/4W 1% AXIAL"
"ESR03EZPF1003","R0603_MD","","ESR03EZPF1003","","Rohm Semiconductor","","SMD","1/4W","Digi-Key","","","","","","","RHM100KADCT-ND","","","","","","","1%","100K","*","R?","RES 100K OHM 1/4W 1% 0603 SMD"
"ESR03EZPF7502","R0603_MD","","ESR03EZPF7502","","Rohm Semiconductor","","SMD","1/4W","Digi-Key","","","","","","","RHM75.0KADCT-ND","","","","","","","1%","75K","*","R?","RES 75K OHM 1/4W 1% 0603 SMD"
"ESR03EZPJ104","R0603_MD","","ESR03EZPJ104","","Rohm Semiconductor","","SMD","1/4W","Digi-Key","","","","","","","RHM100KDCT-ND","","","","","","","5%","100K","*","R?","RES 100K OHM 1/4W 5% 0603 SMD"
"FMP100JR-52-47R","RES_AXIAL_0.1_VERT","","FMP100JR-52-47R","","Yageo","","PTH","1W","Digi-Key","Mouser","","","","","","47WCT-ND","603-FMP100JR-52-47R","","","","","","5%","47R","*","R?","RES 47 OHM 1W 5% AXIAL"
"KTR03EZPF7504","R0603_MD","","KTR03EZPF7504","","Rohm Semiconductor","","SMD","1/10W","Avnet","Digi-Key","","","","","","KTR03EZPF7504","RHM7.5MAYCT-ND","","","","","","1%","7.5M","*","R?","RES SMD 7.5M OHM 1% 1/10W 0603"
"LTR10EZPJ473","R0805_HD","","LTR10EZPJ473","","Rohm Semiconductor","","SMD","0.25W","Digi-Key","","","","","","","RHM47KBUCT-ND","","","","","","","5%","47KR","*","R?","RES SMD 47K OHM 1/4W 0805 WIDE"
"MCMR04X000 PTL","R0402_MD","","MCMR04X000 PTL","","MULTICOMP PRO","","SMD","1/10W","","","","","","","","","","","","","","","1%","0R","*","R?","RES 0 OHM 0402 SMD"
"MCR03ERTF1003","R0603_MD","","MCR03ERTF1003","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","","","","","","","RHM100KCFCT-ND","","","","","","","1%","100K","*","R?","RES 100K OHM 1/10W 1% 0603 SMD"
"MCR03ERTF1004","R0603_MD","","MCR03ERTF1004","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","","","","","","","RHM1.00MCFCT-ND","","","","","","","5%","1M","*","R?","RES 1M OHM 1/10W 5% 0603"
"MCR03ERTF1073","R0603_MD","","MCR03ERTF1073","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","","","","","","","RHM107KCFCT-ND","","","","","","","1%","107k","*","R?","RES 107K OHM 1/10W 1% 0603 SMD"
"MCR03ERTF1102","R0603_MD","","MCR03ERTF1102","","Rohm Semiconductor","","SMD","1/10W","Mouser","Newark","Digi-Key","Farnell","","","","N/A","65T8315","RHM11KCFCT-ND","2130941","","","","1%","11k","*","R?","RES SMD 11K OHM 1% 1/10W 0603"
"MCR03ERTF1212","R0603_MD","","MCR03ERTF1212","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","","","","","","","RHM12.1KCFCT-ND","","","","","","","1%","12.1k","*","R?","RES SMD 12.1K OHM 1% 1/10W 0603"
"MCR03ERTF1502","R0603_MD","","MCR03ERTF1502","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","","","","","","","RHM15.0KCFCT-ND","","","","","","","1%","15k","*","R?","RES 15K OHM 1/10W 1% 0603 SMD"
"MCR03ERTF2001","R0603_MD","","MCR03ERTF2001","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","","","","","","","RHM2.00KCFCT-ND","","","","","","","1%","2k","*","R?","RES 2k OHM 1/10W 1% 0603"
"MCR03ERTF2003","R0603_MD","","MCR03ERTF2003","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","","","","","","","RHM200KCFCT-ND","","","","","","","1%","200k","*","R?","RES 200K OHM 1/10W 1% 0603 SMD"
"MCR03ERTF2201","R0603_MD","","MCR03ERTF2201","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","Newark","","","","","","RHM2.20KCFCT-ND","64R5329","","","","","","1%","2.2k","*","R?","RES 2.2K OHM 1/10W 1% 0603 SMD"
"MCR03ERTF2202","R0603_MD","","MCR03ERTF2202","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","Newark","","","","","","RHM22.0KCFCT-ND","64R5330","","","","","","1%","22k","*","R?","RES 22K OHM 1/10W 1% 0603 SMD"
"MCR03ERTF2213","R0603_MD","","MCR03ERTF2213","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","","","","","","","RHM221KCFCT-ND","","","","","","","1%","221k","*","R?","RES 221K OHM 1/10W 1% 0603 SMD"
"MCR03ERTF2402","R0603_MD","","MCR03ERTF2402","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","","","","","","","RHM24KCFCT-ND","","","","","","","1%","24K","*","R?","RES 24K OHM 1/10W 1% 0603 SMD"
"MCR03ERTF3300","R0603_MD","","MCR03ERTF3300","","Rohm Semiconductor","","SMD","1/10W","Newark","Digi-Key","Farnell","","","","","64R5338","RHM330CFCT-ND","2130815","","","","","1%","330R","*","R?","RES SMD 330 OHM 1% 1/10W 0603"
"MCR03ERTF3573","R0603_MD","","MCR03ERTF3573","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","","","","","","","RHM357KCFCT-ND","","","","","","","1%","357k","*","R?","RES 357k OHM 1/10W 1% 0603"
"MCR03ERTF4301","R0603_MD","","MCR03ERTF4301","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","","","","","","","RHM4.3KCFCT-ND","","","","","","","1%","4.3K","*","R?","RES 4.3K OHM 1/10W 1% 0603 SMD"
"MCR03ERTF4700","R0603_MD","","MCR03ERTF4700","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","Newark","","","","","","RHM470CFDKR-ND","64R5348","","","","","","1%","470R","*","R?","RES 470 OHM 1/10W 1% 0603 SMD"
"MCR03ERTF5112","R0603_MD","","MCR03ERTF5112","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","Newark","","","","","","RHM51.1KCFCT-ND","65T8479","","","","","","1%","51.1k","*","R?","RES 51.1K OHM 1/10W 1% 0603 SMD"
"MCR03ERTF6492","R0603_MD","","MCR03ERTF6492","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","","","","","","","RHM64.9KCFCT-ND","","","","","","","1%","64.9k","*","R?","RES 64.9K OHM 1/10W 1% 0603 SMD"
"MCR03ERTF6800","R0603_MD","","MCR03ERTF6800","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","Newark","Farnell","","","","","RHM680CFCT-ND","64R5358","2130843","","","","","1%","680R","*","R?","RES SMD 680 OHM 1% 1/10W 0603"
"MCR03ERTJ104","R0603_MD","","MCR03ERTJ104","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","","","","","","","RHM100KCGCT-ND","","","","","","","5%","100K","*","R?","RES 100K OHM 1/10W 5% 0603 SMD"
"MCR03ERTJ203","R0603_MD","","MCR03ERTJ203","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","","","","","","","RHM20KCGCT-ND","","","","","","","5%","20K","*","R?","RES 20K OHM 1/10W 5% 0603 SMD"
"MCT06030C1200FP500","R0603_MD","","MCT06030C1200FP500","","Vishay Beyschlag","","SMD","1/8W","Newark","Mouser","Digi-Key","","","","","63K9433","N/A","MCT0603-120-CFCT-ND","","","","","1%","120R","*","R?","RES 120 OHM 1/8W 1% SMD 0603"
"MCT06030C5600FP500","R0603_HD","","MCT06030C5600FP500","","Vishay Beyschlag","","SMD","1/8W","Mouser","Digi-Key","","","","","","N/A","MCT0603-560-CFCT-ND","","","","","","1%","560R","*","R?","RES 560 OHM 1/8W 1% SMD 0603"
"MCT06030C5601FP500","R0603_MD","","MCT06030C5601FP500","","Vishay Beyschlag","","SMD","1/8W","Mouser","Digi-Key","","","","","","594-MCT06030C5601FP5","MCT0603-5.60K-CFCT-ND","","","","","","1%","5k6","*","R?","RES SMD 5.6K OHM 1% 1/8W 0603"
"MF72-005D9","NTC_5mm","","MF72-005D9","3A","Cantherm","","PTH","","Digi-Key","","","","","","","317-1158-ND","","","","","","","20%","5R","*","R?","ICL 5 OHM 20% 3A 11MM"
"PR01000105602JR500","RES_AXIAL_0.4","","PR01000105602JR500","","Vishay BC Components","","PTH","1W","Newark","Farnell","Digi-Key","","","","","53M5176","1498428","PPC56KW-1CT-ND","","","","","5%","56K","*","R?","RES 56K OHM 1W 5% AXIAL"
"PR01000106209JR500","RES_AXIAL_0.4","","PR01000106209JR500","","Vishay BC Components","","PTH","1W","Farnell","Newark","Digi-Key","","","","","1629213","53M5182","PPC62W-1CT-ND","","","","","5%","62R","*","R?","RES 62 OHM 1W 5% AXIAL"
"RC0402FR-07102KL","R0402_MD","","RC0402FR-07102KL","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","102k","*","R?","RES SMD 102K OHM 1% 1/16W 0402"
"RC0402FR-07105KL","R0402_MD","","RC0402FR-07105KL","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","105k","*","R?","RES SMD 105K OHM 1% 1/16W 0402"
