"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","CATEGORY","CODE_JEDEC","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","DATASHEETS","DATASHEETVERSION","DIELECTRIC","MANUFACTURER","MOUN TYPE","MOUNT TYPE","MOUNTING TYPE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PUBLISHED","PUBLISHER","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER 7","SUPPLIER 8","SUPPLIER 9","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","SUPPLIER PART NUMBER 7","SUPPLIER PART NUMBER 8","SUPPLIER PART NUMBER 9","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"MSP430G2452IN20","DIP-20","","","Microcontroller","","MSP430G2452IN20","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Mouser","Digi-Key","Farnell","Arrow","Newark","","","","","595-MSP430G2452IN20","296-28123-5-ND","1865383","50268246S8830327N7713","24T4725","","","","","MSP430G2452","","*","U?","IC MCU 16BIT 8KB FLASH 20PDIP"
"MT47H128M16RT-25E IT:C TR","FBGA-84","","","Memory","","MT47H128M16RT-25E IT:C TR","","","","","","","","","","Micron Technology Inc.","","SMD","","","","","","","","","","","","","","","","","","","","","","","","","MT47H128M16RT-25E IT:C TR","","*","U?","IC DRAM 2G PARALLEL 84FBGA"
"NCP5501DT50RKG","TO-252","","","Regulator","","NCP5501DT50RKG","","","","","","","","","","ON Semiconductor","","SMD","","","","","","","Digi-Key","Farnell","Newark","Mouser","","","","","","NCP5501DT50RKGOSCT-ND","1703369","02M9834","863-NCP5501DT50RKG","","","","","","NCP5501DT50RKG","","*","U?","IC REG LDO 5V 0.5A DPAK"
"OPA4197IDR","SOIC-14","","","Operational Amplifier","","OPA4197IDR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Newark","Digi-Key","","","","","","","","04AC9311","296-45059-1-ND","","","","","","","","OPA4197IDR","","*","U?","IC OP AMP RR 10MHZ 14SOIC"
"PC817X1NSZ0F","DIP-4","","","Optoisolator","","PC817X1NSZ0F","","","","","","","","","","Sharp Microelectronics","","SMD","","","","","","","Farnell","Digi-Key","Newark","Mouser","","","","","","2420047","425-2763-ND","55X3057","852-PC817X1NSZ0F","","","","","","PC817X1NSZ0F","","*","U?","OPTOISOLATOR 5KV TRANS 4DIP"
"PC817X3NSZ0F","DIP-4","","","OPTOISOLATOR","","PC817X3NSZ0F","","","","","","","","","","Sharp Microelectronics","","PTH","","","","","","","Farnell","Newark","Mouser","Digi-Key","","","","","","2420049","55X3061","852-PC817X3NSZ0F","425-2765-ND","","","","","","PC817X3NSZ0F","","*","U?","OPTOISOLATOR 5KV TRANSISTOR 4SMD"
"PIC16F627A-I/SS","SSOP20","","","Microcontroller","","PIC16F627A-I/SS","","","","","","","","","","Microchip","","SMD","","","","","","","Farnell","Digi-Key","Newark","Mouser","","","","","","9760350","PIC16F627A-I/SS-ND","92C4517","579-PIC16F627A-I/SS","","","","","","PIC16F627A-I/SS","","*","U?","IC MCU 8BIT 1.75KB FLASH 20SSOP"
"PIC16F627AT-I/ML","QFN-28","","","Microcontroller","","PIC16F627AT-I/ML","","","","","","","","","","Microchip","","SMD","","","","","","","Mouser","Digi-Key","","","","","","","","579-PIC16F627A-I/ML","PIC16F627AT-I/ML-ND","","","","","","","","PIC16F627AT-I/ML","","*","U?","IC MCU 8BIT 1.75KB FLASH 28QFN"
"PIC16F628A-I/P","DIP-18","","","Microcontroller","","PIC16F628A-I/P","","","","","","","","","","Microchip","","PTH","","","","","","","Farnell","Digi-Key","Newark","Mouser","","","","","","9759514","PIC16F628A-I/P-ND","92C4532","579-PIC16F628A-I/P","","","","","","PIC16F628A-I/P","","*","U?","IC MCU 8BIT 3.5KB FLASH 18DIP"
"PIC16F677-I/P","DIP-20","","","Microcontroller","","PIC16F677-I/P","","","","","","","","","","Microchip Technology","","PTH","","","","","","","Farnell","Digi-Key","Newark","Mouser","","","","","","1332206","PIC16F677-I/P-ND","56J7509","579-PIC16F677-I/P","","","","","","PIC16F677-I/P","","*","U?","IC MCU 8BIT 3.5KB FLASH 20DIP"
"PIC18F4550T-I/PT","TQFP-44","","","","MS-026","PIC18F4550T-I/PT","","","","","","","","revE, Aug-2008","","Microchip Technology","","","","44-Lead Plastic Thin Quad Flatpack (PT) - 10x10x1mm Body, 2.00mm [TQFP]","TQFP-PT44","revBB, Aug-2009","","","Arrow","Farnell","Digi-Key","Digi-Key","","","","","","SbzNWCh7T9Rn0u0AMGJHyTABJoks1AilNdIdGyIbbdrnEig6aI_WRwGSNCw4oZLp","9321365","PIC18F4550T-I/PTDKR-ND","PIC18F4550T-I/PTCT-ND","","","","","","","","","U?","High Performance, Enhanced Flash, USB Microcontroller with nanoWatt Technology, 32K Flash, 44-Pin TQFP, Industrial Temperature Range"
"PIC18F46K22-I/PT","TQFP-44","","","Microcontroller","","PIC18F46K22-I/PT","","","","","","","","","","Microchip","","SMD","","","","","","","Mouser","Newark","Farnell","Digi-Key","Arrow","","","","","579-PIC18F46K22IPT","65R6013","1814980","PIC18F46K22-I/PT-ND","SbzNWCh7T9Rn0u0AMGJHye1A_p5dsHRYd3IEoxG9nITAOydKj33WpzqnNbIzpb_u","","","","","PIC18F46K22-I/PT","","*","U?","IC MCU 8BIT 64KB FLASH 44TQFP"
"PIC32MX795F512L-80I/PT","TQFP-PT100_N","TQFP-PT100_L","TQFP-PT100_M","","","PIC32MX795F512L-80I/PT","Datasheet","http://ww1.microchip.com/downloads/en/DeviceDoc/DS-61156B.pdf","Packaging Specification","http://ww1.microchip.com/downloads/en/PackagingSpec/en012702.pdf","Microchip.com Home","http://www.microchip.com/","","revB, Nov-2009","","","","","","100-Lead Plastic Thin Quad Flatpack (PT) - 12x12x1mm Body, 2.00mm [TQFP]","TQFP-PT100","revBB, Aug-2009","2-Dec-2009","Altium Limited","Digi-Key","Farnell","Digi-Key","","","","","","","PIC32MX795F512L-80I/PT-ND","1778492","PIC32MX795F512LT-80I/PTTR-ND","","","","","","","","","","U?","High Performance 80 MHz MIPS-Based 32-Bit Flash Microcontroller with USB, CAN and Ethernet, 512KB Program Memory, 100-pin TQFP, Industrial Temperature"
"REF1933AIDDCT","SOT23-5","","","Memory","","REF1933AIDDCT","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Avnet","Digi-Key","Newark","Farnell","","","","","","REF1933AIDDCT/BKN","296-38444-1-ND","94X2584","2450206","","","","","","REF1933AIDDCT","","*","U?","IC VREF SERIES 3.3V SOT5"
"S25FL127SABMFI101","SOIC-8-S2A","","","Memory","","S25FL127SABMFI101","","","","","","","","","","Spansion","","SMD","","","","","","","Digi-Key","","","","","","","","","1274-1045-ND","","","","","","","","","S25FL127SABMFI101","","*","U?","IC FLASH 128MBIT 108MHZ 8SOIC"
