"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","MANUFACTURER","MANUFACTURER PART NUMBER 1","MOUNT TYPE","MOUNTING TYPE","N OF POSITIONS","PARTNUMBER","PITCH","PUBLISHED","PUBLISHER","ROLL SPACING","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"66200211122","MICROFIT 2M 3.0MM 180GRAUS","","66200211122","","","","Wurth Electronics Inc","","PTH","","2","","3mm","","","","Farnell","Digi-Key","Newark","","","","2113504","732-4706-5-ND","96T8074","","","","66200211122","*","CN?","MICROFIT 3.0 SR VERT TH PEG TIN"
"66200311122","MICROFIT 3M 3.0MM 180GRAUS","","66200311122","","","","Wurth Electronics Inc","","PTH","","3","","3mm","","","","Digi-Key","Newark","Farnell","","","","732-4709-5-ND","96T8081","2113505","","","","66200311122","*","CN?","CONN HEADER 3POS VERT TIN"
"66200411122","MICROFIT 4M 3.0MM 180GRAUS","","66200411122","","","","Wurth Electronics Inc","","PTH","","4","","3mm","","","","Digi-Key","Newark","Farnell","","","","732-4710-5-ND","96T8083","2113506","","","","66200411122","*","CN?","CONN HEADER 4POS 3MM VERT TIN"
"66201021022","MICROFIT 2x5M 3.0MM 90GRAUS","","66201021022","","","","Wurth Electronics Inc.","","PTH","","10","","3mm","","","","Newark","Digi-Key","Mouser","Farnell","","","19P1327","732-4722-5-ND","710-66201021022","1641825","","","66201021022","*","CN?","WR-MPC3 POWER CONNECTOR 10POS"
"67996-408HLF","PIN BAR 2X4 2.54mm 180 GRAUS 11.5mm length","","67996-408HLF","","","","FCI","","PTH","","8","","2.54mm","","","","Mouser","Newark","Farnell","Digi-Key","","","649-67996-408HLF","84K6416","1278358","609-3391-ND","","","67996-408HLF","*","CN?","CONN HEADER 8POS .100 STR TIN"
"68000-103HLF","PIN BAR 3 2.54mm 180 GRAUS","","68000-103HLF","","","","FCI","","PTH","","3","","2.54mm","","","","Newark","Farnell","Allied","Digi-Key","Mouser","","88K1775","1824560","70236888","609-3461-ND","649-68000-103H","","68000-103HLF","*","CN?","BERGSTIK II .100" SR STRAIGHT"
"68000-106HLF","PIN BAR 6 2.54mm 180 GRAUS","","68000-106HLF","","","","FCI","","PTH","","6","","2.54mm","","","","Newark","Farnell","Digi-Key","Mouser","","","12N0593","1824355","609-3249-ND","649-68000-106H","","","68000-106HLF","*","CN?","CONN HEADER 6POS .100 STR 30AU"
"68000-410HLF","PIN BAR 10 2.54mm 180 GRAUS","","68000-410HLF","","","","FCI","","PTH","","10","","2.54mm","","","","Farnell","Newark","Mouser","Digi-Key","","","1924668","79K4690","649-68000-410HLF","609-3265-ND","","","68000-410HLF","*","CN?","CONN HEADER 10POS .100 STR TIN"
"69190-405HLF","PIN BAR 5 2.54mm 180 GRAUS","","69190-405HLF","","","","FCI","","PTH","","3","","2.54mm","","","","Digi-Key","","","","","","609-4726-ND","","","","","","68000-103HLF","*","CN?","BERGSTIK II SNGL ST"
"70AAJ-4-M0G","70AAJ-4-M","","70AAJ-4-M0G","","","","Bourns Inc.","","SMD","","4","","2.54","","","","Newark","Arrow","Farnell","Digi-Key","","","71R7445","pqLxr7LUTTD1JL_M0_sYlAUJe9IbDiJ4hIX_ec-TGbU","2408826","70AAJ-4-M0GCT-ND","","","70AAJ-4-M0G","*","CN?","MODULAR CONTACT SMD MALE"
