"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","CATEGORY","CLASS","COMMENT","DIELECTRIC","DIELETRIC","MANUFACTURER","MOUNT TYPE","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER PART NUMBER","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","TOLERANCE","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"CC0402KRX7R7BB103","C0402_MD","","Ceramic","","CC0402KRX7R7BB103","X7R","","Yageo","SMD","","","","","","","","","","","","","10000pF","16V","*","C?","CAP CER 10000PF 16V X7R 0402"
"CC0402KRX7R9BB222","C0402_MD","","Ceramic","","CC0402KRX7R9BB222","X7R","","Yageo","SMD","","","","","","","","","","","","","2200pF","50V","*","C?","CAP CER 2200PF 50V X7R 0402"
"CC0402KRX7R9BB272","C0402_MD","","Ceramic","","CC0402KRX7R9BB272","X7R","","Yageo","SMD","","","","","","","","","","","","","2700pF","50V","*","C?","CAP CER 2700PF 50V X7R 0402"
"CC0402MRX7R9BB102","C0402_MD","","Ceramic","","CC0402MRX7R9BB102","X7R","","Yageo","SMD","","","","","","","","","","","","","1000pF","50V","*","C?","CAP CER 1000PF 50V X7R 0402"
"CC0603KRX5R6BB475","C0603_MD","","*","","CC0603KRX5R6BB475","*","","Yageo","SMD","Digi-Key","","","","","","311-1455-1-ND","","","","","","4.7uF","10V","*","C?","CAP CER 4.7UF 10V 10% X5R 0603"
"CC0603ZRY5V5BB225","C0603_MD","","Ceramic","","CC0603ZRY5V5BB225","Y5V","","Yageo","SMD","Newark","Mouser","Farnell","Digi-Key","","","68R4825","603-CC603ZRY5V5BB225","1817933","311-1452-1-ND","","","2.2uF","6.3V","*","C?","CAP CER 2.2UF 6.3V Y5V 0603"
"CC0603ZRY5V7BB105","C0603_MD","","Ceramic","","CC0603ZRY5V7BB105","Y5V","","Yageo","SMD","Newark","Mouser","Farnell","Digi-Key","","","68R4831","603-CC603ZRY5V7BB105","1817937","311-1372-1-ND","","","1uF","16V","*","C?","CAP CER 1UF 16V Y5V 0603"
"CC0805KKX7R9BB334","C0805_HD","","Ceramic Capacitor","","CC0805KKX7R9BB334","X7R","","Yageo","SMD","Digi-Key","","","","","","311-1888-1-ND","","","","","","330nF","50V","*","C?","CAP CER 0.33UF 50V X7R 0805"
"CGA2B3X7R1H683K050BB","C0402_MD","","Ceramic","","CGA2B3X7R1H683K050BB","X7R","","TDK Corporation","SMD","","","","","","","","","","","","","0.068uF","50V","*","C?","CAP CER 0.068UF 50V X7R 0402"
"CL05A106MP5NUNC","C0402_MD","","Ceramic","","CL05A106MP5NUNC","X5R","","Samsung Electro-Mechanics","SMD","","","","","","","","","","","","","10uF","10V","*","C?","CAP CER 10UF 10V X5R 0402"
"CL05A106MP8NUB8","C0402_MD","","Ceramic","","CL05A106MP8NUB8","X5R","","Samsung Electro-Mechanics America, Inc.","SMD","Arrow","Digikey","","","","","CL05A106MP8NUB8","1276-6830-1-ND","","","","","10uF","10V","*","C?","CAP CER 10UF 10V X5R 0402"
"CL05A226MQ5N6J8","C0402_MD","","Ceramic","","CL05A226MQ5N6J8","X5R","","Samsung Electro-Mechanics","SMD","","","","","","","","","","","","","22uF","6.3V","*","C?","CAP CER 22UF 6.3V X5R 0402"
"CL05B103KA5NNNC","C0402_MD","","Ceramic","","CL05B103KA5NNNC","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Digikey","Arrow","","","","","1276-1057-1-ND","CL05B103KA5NNNC**MULT1","","","","","10000pF","25V","*","C?","CAP CER 10000PF 25V X7R 0402"
"CL05B104KO5NNNC","C0402_MD","","Ceramic","","CL05B104KO5NNNC","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Digikey","Arrow","","","","","1276-1001-1-ND","CL05B104KO5NNNC**MULT1","","","","","0.1uF","16V","*","C?","CAP CER 0.1UF 16V X7R 0402"
"CL05C180JB5NNNC","C0402_MD","","Ceramic","","CL05C180JB5NNNC","C0G","","Samsung Electro-Mechanics America, Inc.","SMD","Digikey","Arrow","","","","","1276-1140-1-ND","CL05C180JB5NNNC","","","","","18pF","50V","*","C?","CAP CER 18PF 50V C0G/NP0 0402"
"CL05C181JB5NNNC","C0402_MD","","Ceramic","","CL05C181JB5NNNC","C0G","","Samsung Electro-Mechanics","SMD","","","","","","","","","","","","","180pF","50V","*","C?","CAP CER 180PF 50V C0G/NP0 0402"
"CL10A226MPCNUBE","C0603_MD","","Ceramic","","CL10A226MPCNUBE","X5R","","Samsung Electro-Mechanics America, Inc.","SMD","Digikey","","","","","","1276-6504-1-ND","","","","","","22uF","10V","*","C?","CAP CER 22UF 10V X5R 0603"
"CL10B103KB8NCNC","C0603_MD","","Ceramic","","CL10B103KB8NCNC","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Digi-Key","Newark","Farnell","","","","1276-1921-1-ND","88W4176","2332638","","","","10000pF","50V","*","C?","CAP CER 10000PF 50V X7R 0603"
"CL10B103KB8NNNC","C0603_MD","","Ceramic","","CL10B103KB8NNNC","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Digi-Key","Newark","Farnell","","","","1276-1009-1-ND","30C5334","2253099","","","","10000pF","50V","*","C?","10000pF 50V Ceramic Capacitor X7R 0603"
